Session,CCS,Arrival,Departure,Stay (min),Energy (Wh),Pmax (W),Preq_max (W),"Controlled session (0=False, 1=True)",TotalCapacity,BulkCapacity,SOC arrival,SOC departure,Energy capacity (Wh)
278,CCS1,8/11/2022 23:33,8/11/2022 23:37,5,9632.0,168393,192417,1,79140,63312,26,36,91504
897,CCS1,4/22/2023 9:46,4/22/2023 9:50,5,3993.0,87201,192417,1,75200,60160,45,49,94834
958,CCS1,5/18/2023 13:24,5/18/2023 13:28,5,4567.0,79593,252297,1,10000,8000,21,27,72311
1046,CCS1,6/18/2023 16:14,6/18/2023 16:18,5,5591.0,120198,232965,1,10000,8000,47,55,66310
1095,CCS1,6/28/2023 14:39,6/28/2023 14:43,5,6400.0,128517,353265,1,10000,8000,45,54,67556
1342,CCS2,10/14/2022 11:48,10/14/2022 11:52,5,1165.0,58407,109479,0,50000,40000,98,100,55338
1352,CCS2,10/16/2022 11:56,10/16/2022 12:00,5,4431.0,84300,352230,1,10000,8000,73,78,84189
1450,CCS2,11/9/2022 11:29,11/9/2022 11:33,5,4641.0,113955,117300,1,50000,40000,31,38,62985
1655,CCS2,3/30/2023 14:54,3/30/2023 14:58,5,7910.8,140616,141900,0,10000,8000,77,79,375764
15,CCS1,4/16/2022 11:19,4/16/2022 11:24,6,10830.0,146661,367872,1,10000,8000,37,48,93532
586,CCS1,11/23/2022 21:37,11/23/2022 21:42,6,2071.0,34518,110514,0,50000,40000,57,61,49162
656,CCS1,3/1/2023 13:05,3/1/2023 13:10,6,6407.1,83199,90600,0,10000,8000,33,41,76084
697,CCS1,3/10/2023 11:51,3/10/2023 11:56,6,2753.0,67422,110514,0,50000,40000,92,95,87178
833,CCS1,4/6/2023 17:25,4/6/2023 17:30,6,10867.0,156633,353265,1,10000,8000,22,34,86030
837,CCS1,4/7/2023 12:52,4/7/2023 12:57,6,5869.0,106779,141663,1,10000,8000,32,40,69694
1014,CCS1,6/10/2023 11:54,6/10/2023 11:59,6,5156.0,80454,353265,1,10000,8000,59,66,69874
1067,CCS1,6/23/2023 13:25,6/23/2023 13:30,6,6410.0,106038,353265,1,10000,8000,54,62,76119
1094,CCS1,6/28/2023 14:13,6/28/2023 14:18,6,9078.0,144882,353265,1,10000,8000,33,45,71868
1229,CCS2,6/5/2022 14:05,6/5/2022 14:10,6,6691.0,147906,276972,1,10000,8000,80,87,90806
1230,CCS2,6/5/2022 15:08,6/5/2022 15:13,6,10567.0,158037,352230,1,10000,8000,19,32,77220
1310,CCS2,7/18/2022 13:42,7/18/2022 13:47,6,9349.0,141990,176505,1,10000,8000,20,34,63440
128,CCS1,6/3/2022 23:08,6/3/2022 23:14,7,3863.0,50751,58836,0,10000,8000,7,17,36699
175,CCS1,6/10/2022 20:48,6/10/2022 20:54,7,5195.0,67446,179418,1,10000,8000,39,48,54836
